Date,Open,Close
Aug-18-2021,44681.517,44856.0324
Aug-19-2021,44752.5042,46666.8683
Aug-20-2021,46753.2071,49270.61315
Aug-21-2021,49307.45729,49000.4242
Aug-22-2021,48845.54568,49223.94712
Aug-23-2021,49279.95149,49486.4032
Aug-24-2021,49540.1129,47734.0314
Aug-25-2021,47680.9414,48939.9658
Aug-26-2021,48987.1091,47130.6185
Aug-27-2021,46838.8608,49005.9495
Aug-28-2021,49042.1753,48864.0249
Aug-29-2021,48879.928,48876.7643
Aug-30-2021,48763.4158,47020.6765
Aug-31-2021,46973.534,47225.2696
Sep-01-2021,47131.564,48744.6322
Sep-02-2021,48829.9747,49318.558
Sep-03-2021,49289.8967,49987.63657
Sep-04-2021,50001.53054,49974.09728
Sep-05-2021,49914.74827,51698.7267
Sep-06-2021,51747.2295,52639.2443
Sep-07-2021,52668.6218,46881.9971
Sep-08-2021,46778.3093,45972.9463
Sep-09-2021,46051.3805,46319.9526
Sep-10-2021,46376.4646,44833.0831
Sep-11-2021,44852.1612,45096.0509
Sep-12-2021,45136.6393,46058.0015
Sep-13-2021,46057.4156,44990.02141
Sep-14-2021,44932.42346,47012.9104
Sep-15-2021,47068.4868,48092.9703
Sep-16-2021,48150.0101,47816.2504
